Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18106757338,"Apr 14, 2026, 3:42:53 PM",Evening Trail Run,Run,"",2659,7.10,192.0,41,,,,activities/19208613204.fit.gz,,,2659.0,2455.0,7103.0,8.0,2.893,98.0,101.0,186.8,225.4,40.0,-0.1,,,126.0,82.0,192.0,148.0,,221.0,466.0,,20.0,41.0,,,,,,,,,221.0,2660.0,,,0.0,,1.0,7387.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.671,4730.0,,,,6554.0,0.0,,144.0,140.0,3.009,,,,,,,,,,,,""
18105679507,"Apr 13, 2026, 9:41:09 AM",Lunch Trail Run,Run,"",3371,7.58,174.0,48,,,,activities/19207530032.fit.gz,,,3371.0,3143.0,7579.0,3.8,2.411,259.0,245.0,201.2,446.6,42.9,0.2,,,89.0,80.0,174.0,146.0,,189.0,578.0,,25.0,48.0,,,,,,,,,187.0,3372.0,,,0.0,,1.0,8607.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.248,6145.0,,,,8342.0,0.0,,130.0,118.0,2.739,,,,,,,,,,,,""
18105677469,"Apr 12, 2026, 4:29:54 PM",Evening Trail Run,Run,"",2217,4.03,175.0,23,,,,activities/19207527908.fit.gz,,,2217.0,2212.0,4035.0,3.2,1.824,38.0,26.0,199.8,211.4,24.4,0.3,,,85.0,81.0,175.0,146.0,,177.0,321.0,,20.0,23.0,,,,,,,,,166.0,2211.0,,,0.0,,1.0,4173.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,3286.0,,,,4766.0,0.0,,67.0,105.0,1.887,,,,,,,,,,,,""
18069008013,"Apr 11, 2026, 2:46:11 PM",Afternoon Trail Run,Run,"",5940,7.66,173.0,24,,,,activities/19170481501.fit.gz,,,5940.0,3770.0,7666.0,3.6,2.033,302.0,301.0,169.0,453.6,49.1,0.0,,,96.0,77.0,173.0,132.0,,156.0,644.0,,22.0,24.0,,,,,,,,,142.0,5938.0,,,0.0,,1.0,9273.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.291,2318.0,,,,10558.0,0.0,,133.0,90.0,2.46,,,,,,,,,,,,""
18066572272,"Apr 10, 2026, 2:51:29 PM",Afternoon Trail Run,Run,"",3549,6.79,167.0,26,,,,activities/19168020537.fit.gz,,,3549.0,2991.0,6794.0,4.2,2.271,234.0,237.0,201.2,365.8,49.1,-0.1,,,126.0,77.0,167.0,138.0,,182.0,473.0,,23.0,26.0,,,,,,,,,178.0,3550.0,,,0.0,,1.0,7944.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.914,841.0,,,,7584.0,0.0,,125.0,113.0,2.656,,,,,,,,,,,,""
18066572067,"Apr 8, 2026, 2:04:17 PM",Afternoon Trail Run,Run,"",3241,7.19,172.0,49,,,,activities/19168020082.fit.gz,,,3241.0,3167.0,7189.0,3.8,2.27,260.0,241.0,206.8,446.6,31.4,0.2,,,109.0,81.0,172.0,147.0,,179.0,613.0,,27.0,49.0,,,,,,,,,183.0,3241.0,,,0.0,,1.0,8303.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.218,3516.0,,,,8524.0,0.0,,120.0,116.0,2.622,,,,,,,,,,,,""
18066572451,"Apr 7, 2026, 4:09:30 PM",Evening Trail Run,Run,"",2592,5.41,171.0,34,,,,activities/19168020715.fit.gz,,,2592.0,1964.0,5411.0,3.8,2.755,46.0,45.0,197.0,212.0,31.4,0.0,,,93.0,83.0,171.0,148.0,,202.0,429.0,,22.0,34.0,,,,,,,,,190.0,2593.0,,,0.0,,1.0,5544.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.088,0.0,,,,5574.0,0.0,,103.0,120.0,2.823,,,,,,,,,,,,""
17903328121,"Mar 29, 2026, 6:58:55 AM",Morning Trail Run,Run,"",11194,5.39,190.0,15,,,,activities/19003114486.fit.gz,,,11194.0,3547.0,5389.0,4.4,1.519,256.0,259.0,-7.2,215.0,50.0,0.0,,,190.0,62.0,190.0,114.0,,110.0,761.0,,23.0,15.0,,,,,,,,,86.0,11190.0,,,0.0,,1.0,6609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481,78.0,,,,8170.0,0.0,,91.0,54.0,1.863,,,,,,,,,,,,""
17839407572,"Mar 24, 2026, 8:42:13 AM",Morning Rock Climb,Rock Climb,"",5510,0,120.0,8,,,,activities/18938858463.fit.gz,,,5510.0,5510.0,0.0,0.0,0.0,27.0,25.0,97.2,105.2,0.0,0.0,,,,,120.0,79.0,,,248.0,,29.0,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17839406620,"Mar 23, 2026, 10:14:22 AM",Lunch Run,Run,"",4346,3.00,134.0,4,,,,activities/18938857399.fit.gz,,,4346.0,2343.0,3004.0,2.6,1.282,13.0,16.0,79.8,87.6,48.6,-0.1,,,78.0,53.0,134.0,85.0,,87.0,252.0,,25.0,4.0,,,,,,,,,72.0,4345.0,,,0.0,,1.0,3047.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691,1427.0,,,,4574.0,0.0,,25.0,46.0,1.301,,,,,,,,,,,,""
17816211100,"Mar 22, 2026, 10:01:39 AM",Lunch Run,Run,"",9005,23.03,188.0,190,,,,activities/18915512177.fit.gz,,,9005.0,7093.0,23036.0,5.4,3.248,81.0,86.0,76.4,106.8,30.0,0.0,,,94.0,84.0,188.0,159.0,,249.0,1421.0,,23.0,190.0,,,,,,,,,242.0,9006.0,,,0.0,,1.0,23147.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.558,0.0,,,,13670.0,0.0,,586.0,153.0,3.263,,,,,,,,,,,,""
17798945880,"Mar 21, 2026, 7:14:51 AM",Morning Trail Run,Run,"",2698,6.04,189.0,60,,,,activities/18898044222.fit.gz,,,2698.0,2312.0,6042.0,6.8,2.613,33.0,36.0,83.4,107.0,42.5,0.0,,,96.0,84.0,189.0,157.0,,192.0,549.0,,16.0,60.0,,,,,,,,,182.0,2699.0,,,0.0,,1.0,6185.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.239,1359.0,,,,6472.0,0.0,,99.0,115.0,2.675,,,,,,,,,,,,""
17793000869,"Mar 19, 2026, 4:24:29 PM",Evening Weight Training,Weight Training,"",916,0.00,173.0,7,,,,activities/18892054588.fit.gz,,,916.0,916.0,3.0,1.5,0.003,7.0,9.0,208.4,215.8,0.0,-160.0,,,52.0,0.0,173.0,125.0,,96.0,82.0,,16.0,7.0,,,,,,,,,94.0,917.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.0,,,,,0.0,,8.0,59.0,,,,,,,,,,,,,""
17793000947,"Mar 19, 2026, 3:46:53 PM",Afternoon Trail Run,Run,"",2255,7.22,196.0,88,,,,activities/18892054429.fit.gz,,,2255.0,2255.0,7224.0,4.4,3.204,67.0,60.0,206.6,217.0,16.4,0.1,,,93.0,89.0,196.0,168.0,,236.0,550.0,,15.0,88.0,,,,,,,,,240.0,2256.0,,,0.0,,1.0,7403.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.204,6839.0,,,,,0.0,,144.0,152.0,3.283,,,,,,,,,,,,""
17768248860,"Mar 18, 2026, 3:13:56 PM",Afternoon Trail Run,Run,"",3259,7.95,172.0,41,,,,activities/18867162709.fit.gz,,,3259.0,3239.0,7949.0,4.2,2.454,264.0,246.0,203.0,448.2,34.3,0.2,,,86.0,83.0,172.0,145.0,,195.0,581.0,,19.0,41.0,,,,,,,,,194.0,3258.0,,,0.0,,1.0,8880.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.439,6944.0,,,,8694.0,0.0,,136.0,123.0,2.742,,,,,,,,,,,,""
17743498479,"Mar 16, 2026, 3:22:56 PM",Afternoon Trail Run,Run,"",2693,6.84,210.0,44,,,,activities/18842353948.fit.gz,,,2693.0,2394.0,6839.0,5.6,2.857,51.0,54.0,207.4,226.4,34.3,-0.1,,,117.0,87.0,210.0,151.0,,216.0,480.0,,17.0,44.0,,,,,,,,,222.0,2691.0,,,0.0,,1.0,6981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,6428.0,,,,6380.0,0.0,,148.0,141.0,2.916,,,,,,,,,,,,""
17733532914,"Mar 15, 2026, 10:19:04 AM",Lunch Trail Run,Run,"",4744,8.56,189.0,73,,,,activities/18832300092.fit.gz,,,4744.0,4442.0,8567.0,4.0,1.929,537.0,526.0,191.4,448.2,49.1,0.1,,,109.0,76.0,189.0,147.0,,162.0,845.0,,25.0,73.0,,,,,,,,,164.0,4745.0,,,0.0,,1.0,11714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.806,3996.0,,,,11160.0,0.0,,142.0,104.0,2.637,,,,,,,,,,,,""
17733532318,"Mar 14, 2026, 10:26:33 AM",Lunch Trail Run,Run,"",4835,11.09,176.0,82,,,,activities/18832299552.fit.gz,,,4835.0,4557.0,11097.0,3.8,2.435,326.0,301.0,196.8,428.0,42.5,0.2,,,87.0,82.0,176.0,149.0,,188.0,857.0,,23.0,82.0,,,,,,,,,190.0,4836.0,,,0.0,,1.0,12237.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.295,10145.0,,,,12412.0,0.0,,193.0,120.0,2.685,,,,,,,,,,,,""
17709623562,"Mar 13, 2026, 3:21:24 PM",Afternoon Trail Run,Run,"",3858,9.39,181.0,63,,,,activities/18808170564.fit.gz,,,3858.0,3358.0,9391.0,5.0,2.797,60.0,57.0,206.0,215.0,28.6,0.0,,,96.0,84.0,181.0,151.0,,214.0,685.0,,18.0,63.0,,,,,,,,,215.0,3859.0,,,0.0,,1.0,9553.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.434,8813.0,,,,9312.0,0.0,,198.0,136.0,2.845,,,,,,,,,,,,""
17562267269,"Feb 27, 2026, 4:51:06 PM",Evening Trail Run,Run,"",3259,7.92,190.0,52,,,,activities/18659980933.fit.gz,,,3259.0,2914.0,7923.0,5.4,2.719,69.0,65.0,200.8,218.0,20.0,0.0,,,103.0,84.0,190.0,149.0,,211.0,547.0,,14.0,52.0,,,,,,,,,211.0,3259.0,,,0.0,,1.0,8169.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.431,7262.0,,,,8088.0,0.0,,161.0,134.0,2.804,,,,,,,,,,,,""
17519756512,"Feb 25, 2026, 3:21:23 PM",Afternoon Trail Run,Run,"",3578,7.31,190.0,44,,,,activities/18617202431.fit.gz,,,3578.0,3525.0,7309.0,3.4,2.073,305.0,295.0,208.6,449.8,48.9,0.2,,,128.0,81.0,190.0,146.0,,180.0,612.0,,17.0,44.0,,,,,,,,,180.0,3580.0,,,0.0,,1.0,8770.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.043,6404.0,,,,8946.0,0.0,,129.0,114.0,2.488,,,,,,,,,,,,""
